Date,Price,Volume
5-Oct-17,9.54,8.16
6-Oct-17,9.54,9.89
9-Oct-17,9.55,3.97
10-Oct-17,9.54,4.54
11-Oct-17,9.55,5.26
12-Oct-17,9.53,8.59
13-Oct-17,9.51,6.47
16-Oct-17,9.46,7.6
17-Oct-17,9.42,6.75
19-Oct-17,9.35,9.31
20-Oct-17,9.29,6.46
23-Oct-17,9.24,7.85
24-Oct-17,9.25,9.67
25-Oct-17,9.24,7.8
26-Oct-17,9.24,9.82
27-Oct-17,9.23,8.12
30-Oct-17,9.24,8.85
31-Oct-17,9.25,11.07
1-Nov-17,9.2,4.54
2-Nov-17,9.25,5.7
3-Nov-17,9.24,7.04
6-Nov-17,9.25,8.33
7-Nov-17,9.25,5.26
8-Nov-17,9.15,6.48
9-Nov-17,9.16,10.31
10-Nov-17,9.18,10.09
13-Nov-17,9.16,7.46
14-Nov-17,9.34,16.88
15-Nov-17,9.21,11.66
16-Nov-17,9.21,10.14
17-Nov-17,9.22,7.98
20-Nov-17,9.21,6.93
21-Nov-17,9.21,8.06
22-Nov-17,9.21,10.28
23-Nov-17,9.21,2.37
24-Nov-17,9.15,25.73
27-Nov-17,9.2,4.67
28-Nov-17,9.2,8.57
29-Nov-17,9.2,13.5
30-Nov-17,9.25,62.09
4-Dec-17,9.25,14.84
5-Dec-17,9.38,10.42
6-Dec-17,9.26,13.2
7-Dec-17,9.27,13.09
8-Dec-17,9.27,10.64
11-Dec-17,9.25,9.89
12-Dec-17,9.25,22.17
13-Dec-17,9.25,12.69
14-Dec-17,9.49,21.86
15-Dec-17,9.54,12.61
18-Dec-17,9.5,4.86
19-Dec-17,9.49,14.1
20-Dec-17,9.5,14.1
21-Dec-17,9.48,5.24
22-Dec-17,9.48,6.99
26-Dec-17,9.47,8.96
27-Dec-17,9.55,11.66
28-Dec-17,9.56,5.09
29-Dec-17,9.8,10.7
2-Jan-18,9.66,5.28
3-Jan-18,9.78,13.95
4-Jan-18,9.8,18.31
5-Jan-18,9.8,16.27
8-Jan-18,9.85,19.24
9-Jan-18,9.83,14.59
10-Jan-18,9.84,18.22
11-Jan-18,9.84,11.07
12-Jan-18,9.85,15.1
15-Jan-18,9.85,8.16
16-Jan-18,9.85,8.74
17-Jan-18,9.88,6.25
18-Jan-18,9.86,7.09
19-Jan-18,9.87,10.35
22-Jan-18,9.87,7.85
23-Jan-18,9.89,11.01
24-Jan-18,9.91,10.79
25-Jan-18,10,22.37
26-Jan-18,10.08,12.66
29-Jan-18,10.2,11.92
30-Jan-18,10.1,13.48
2-Feb-18,10.1,22.12
5-Feb-18,10.02,16.51
6-Feb-18,10,26.59
7-Feb-18,10.06,15.62
8-Feb-18,10.08,7.44
9-Feb-18,10.02,9.94
12-Feb-18,10.06,9.64
13-Feb-18,10.1,14.34
14-Feb-18,10.12,13.6
15-Feb-18,10.1,6.34
19-Feb-18,10.14,7.97
20-Feb-18,10.14,10.24
21-Feb-18,10.18,13.28
22-Feb-18,10.2,6.64
23-Feb-18,10.26,16.71
26-Feb-18,10.4,34.97
27-Feb-18,10.46,25.32
28-Feb-18,10.46,37.08
1-Mar-18,10.44,19.5
2-Mar-18,10.46,13.93
5-Mar-18,10.42,15.42
6-Mar-18,10.5,28.2
7-Mar-18,10.48,38.29
8-Mar-18,10.46,9.81
9-Mar-18,10.44,7.81
12-Mar-18,10.44,8.07
13-Mar-18,10.44,6.83
14-Mar-18,10.44,8.62
15-Mar-18,10.36,12.41
16-Mar-18,10.32,21.56
19-Mar-18,10.32,7
20-Mar-18,10.34,12.5
21-Mar-18,10.28,18.32
22-Mar-18,10.54,14.52
23-Mar-18,10.5,22.24
26-Mar-18,10.52,13.67
27-Mar-18,10.52,10.53
28-Mar-18,10.5,6.05
29-Mar-18,10.52,7.68
30-Mar-18,10.6,17.58
2-Apr-18,10.52,11.48
3-Apr-18,10.52,9.38
4-Apr-18,10.34,19.08
5-Apr-18,10.48,10.78
6-Apr-18,10.48,10.72
9-Apr-18,10.46,12.23
10-Apr-18,10.48,18.84
11-Apr-18,10.6,26.41
12-Apr-18,10.54,17.21
13-Apr-18,10.54,15.59
16-Apr-18,10.6,18.81
17-Apr-18,10.62,26.46
18-Apr-18,10.6,14.63
19-Apr-18,10.68,18.81
20-Apr-18,10.72,8.12
23-Apr-18,10.62,5.34
24-Apr-18,10.62,12.62
25-Apr-18,10.58,11.02
26-Apr-18,10.68,16.23
27-Apr-18,10.76,27.04
30-Apr-18,10.78,9.9
2-May-18,10.66,18.79
3-May-18,10.7,16.31
4-May-18,10.62,24.48
7-May-18,10.54,13.25
8-May-18,10.7,22.68
14-May-18,10.8,38.13
15-May-18,10.8,25.02
16-May-18,10.86,14.88
17-May-18,10.82,15.86
18-May-18,10.82,20.84
21-May-18,10.88,16.95
22-May-18,10.88,14.77
23-May-18,10.68,37.77
24-May-18,10.26,84.88
25-May-18,10.26,21.18
28-May-18,10,24.03
30-May-18,9.57,55.69
31-May-18,9.66,97.54
1-Jun-18,10.04,27.31
4-Jun-18,9.98,28.04
5-Jun-18,9.65,28.89
6-Jun-18,9.59,26.66
7-Jun-18,9.87,22.4
8-Jun-18,9.8,15.01
11-Jun-18,9.76,10.34
12-Jun-18,9.6,16.22
13-Jun-18,9.6,10.24
14-Jun-18,9.6,64.04
18-Jun-18,9.55,13.11
19-Jun-18,9.28,24.01
20-Jun-18,9.24,12.87
21-Jun-18,9.17,16.32
22-Jun-18,9.19,12.92
25-Jun-18,9.08,8.9
26-Jun-18,9,18.9
27-Jun-18,8.68,19.39
28-Jun-18,8.84,10.49
29-Jun-18,9,16.31
2-Jul-18,8.96,10.72
3-Jul-18,8.98,9.18
4-Jul-18,8.98,10.97
5-Jul-18,9.03,4.96
6-Jul-18,8.97,6.44
9-Jul-18,9.08,5.81
10-Jul-18,9.14,7.98
11-Jul-18,9.14,7.16
12-Jul-18,9.5,10.61
13-Jul-18,9.51,12.3
16-Jul-18,9.57,11.43
17-Jul-18,9.58,5.77
18-Jul-18,9.6,8.63
19-Jul-18,9.81,13.3
20-Jul-18,9.79,9.26
23-Jul-18,9.81,7.31
24-Jul-18,9.77,11.33
25-Jul-18,9.81,8.52
26-Jul-18,9.9,16.21
27-Jul-18,9.88,5.77
30-Jul-18,9.85,7.63
31-Jul-18,9.81,25.54
1-Aug-18,9.85,11.5
2-Aug-18,9.84,5.24
3-Aug-18,9.83,4.25
6-Aug-18,9.87,4.49
7-Aug-18,9.89,10.26
8-Aug-18,9.9,9.63
9-Aug-18,9.9,8.74
10-Aug-18,9.89,10.03
13-Aug-18,9.88,6.73
